schema_name,table_name,constraint_name,constraint_type,definition
public,account_analytics,account_analytics_pkey,p,PRIMARY KEY (id)
public,account_analytics,account_analytics_social_account_date_unique,u,"UNIQUE (social_account_id, date)"
public,account_analytics,account_analytics_social_account_id_date_key,u,"UNIQUE (social_account_id, date)"
public,analytics_snapshots,analytics_snapshots_pkey,p,PRIMARY KEY (id)
public,analytics_snapshots,analytics_snapshots_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,analytics_snapshots,analytics_snapshots_workspace_id_platform_date_key,u,"UNIQUE (workspace_id, platform, date)"
public,automation_events,automation_events_pkey,p,PRIMARY KEY (id)
public,automation_events,automation_events_status_check,c,"CHECK ((status = ANY (ARRAY['received'::text, 'queued'::text, 'processed'::text, 'ignored'::text, 'failed'::text])))"
public,automation_events,automation_events_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,automation_logs,automation_logs_automation_id_fkey,f,FOREIGN KEY (automation_id) REFERENCES automations(id) ON DELETE CASCADE
public,automation_logs,automation_logs_automation_id_trigger_comment_id_key,u,"UNIQUE (automation_id, trigger_comment_id)"
public,automation_logs,automation_logs_pkey,p,PRIMARY KEY (id)
public,automation_node_runs,automation_node_runs_automation_id_fkey,f,FOREIGN KEY (automation_id) REFERENCES automations(id) ON DELETE CASCADE
public,automation_node_runs,automation_node_runs_pkey,p,PRIMARY KEY (id)
public,automation_node_runs,automation_node_runs_run_id_fkey,f,FOREIGN KEY (run_id) REFERENCES automation_runs(id) ON DELETE CASCADE
public,automation_node_runs,automation_node_runs_run_id_node_id_key,u,"UNIQUE (run_id, node_id)"
public,automation_node_runs,automation_node_runs_status_check,c,"CHECK ((status = ANY (ARRAY['queued'::text, 'running'::text, 'completed'::text, 'failed'::text, 'skipped'::text])))"
public,automation_node_runs,automation_node_runs_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,automation_runs,automation_runs_automation_id_fkey,f,FOREIGN KEY (automation_id) REFERENCES automations(id) ON DELETE CASCADE
public,automation_runs,automation_runs_event_id_fkey,f,FOREIGN KEY (event_id) REFERENCES automation_events(id) ON DELETE SET NULL
public,automation_runs,automation_runs_pkey,p,PRIMARY KEY (id)
public,automation_runs,automation_runs_status_check,c,"CHECK ((status = ANY (ARRAY['queued'::text, 'running'::text, 'completed'::text, 'failed'::text, 'skipped'::text])))"
public,automation_runs,automation_runs_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,automation_scheduled_executions,automation_scheduled_executions_automation_id_fkey,f,FOREIGN KEY (automation_id) REFERENCES automations(id) ON DELETE CASCADE
public,automation_scheduled_executions,automation_scheduled_executions_pkey,p,PRIMARY KEY (id)
public,automation_scheduled_executions,automation_scheduled_executions_status_check,c,"CHECK ((status = ANY (ARRAY['pending'::text, 'executing'::text, 'completed'::text, 'failed'::text])))"
public,automations,automations_pkey,p,PRIMARY KEY (id)
public,automations,automations_social_account_id_fkey,f,FOREIGN KEY (social_account_id) REFERENCES social_accounts(id) ON DELETE CASCADE
public,automations,automations_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,chat_sessions,chat_sessions_pkey,p,PRIMARY KEY (id)
