table_name,grantee,privilege_type,is_grantable
account_analytics,authenticated,MAINTAIN,f
account_analytics,authenticated,REFERENCES,f
account_analytics,authenticated,SELECT,f
account_analytics,authenticated,TRIGGER,f
account_analytics,authenticated,TRUNCATE,f
account_analytics,postgres,DELETE,f
account_analytics,postgres,INSERT,f
account_analytics,postgres,MAINTAIN,f
account_analytics,postgres,REFERENCES,f
account_analytics,postgres,SELECT,f
account_analytics,postgres,TRIGGER,f
account_analytics,postgres,TRUNCATE,f
account_analytics,postgres,UPDATE,f
account_analytics,service_role,DELETE,f
account_analytics,service_role,INSERT,f
account_analytics,service_role,MAINTAIN,f
account_analytics,service_role,REFERENCES,f
account_analytics,service_role,SELECT,f
account_analytics,service_role,TRIGGER,f
account_analytics,service_role,TRUNCATE,f
account_analytics,service_role,UPDATE,f
analytics_snapshots,authenticated,DELETE,f
analytics_snapshots,authenticated,INSERT,f
analytics_snapshots,authenticated,MAINTAIN,f
analytics_snapshots,authenticated,REFERENCES,f
analytics_snapshots,authenticated,SELECT,f
analytics_snapshots,authenticated,TRIGGER,f
analytics_snapshots,authenticated,TRUNCATE,f
analytics_snapshots,authenticated,UPDATE,f
analytics_snapshots,postgres,DELETE,f
analytics_snapshots,postgres,INSERT,f
analytics_snapshots,postgres,MAINTAIN,f
analytics_snapshots,postgres,REFERENCES,f
analytics_snapshots,postgres,SELECT,f
analytics_snapshots,postgres,TRIGGER,f
analytics_snapshots,postgres,TRUNCATE,f
analytics_snapshots,postgres,UPDATE,f
analytics_snapshots,service_role,DELETE,f
analytics_snapshots,service_role,INSERT,f
analytics_snapshots,service_role,MAINTAIN,f
analytics_snapshots,service_role,REFERENCES,f
analytics_snapshots,service_role,SELECT,f
analytics_snapshots,service_role,TRIGGER,f
analytics_snapshots,service_role,TRUNCATE,f
analytics_snapshots,service_role,UPDATE,f
automation_events,authenticated,SELECT,f
automation_events,postgres,DELETE,f
automation_events,postgres,INSERT,f
automation_events,postgres,MAINTAIN,f
automation_events,postgres,REFERENCES,f
automation_events,postgres,SELECT,f
automation_events,postgres,TRIGGER,f
automation_events,postgres,TRUNCATE,f
automation_events,postgres,UPDATE,f
automation_events,service_role,DELETE,f
automation_events,service_role,INSERT,f
automation_events,service_role,MAINTAIN,f
automation_events,service_role,REFERENCES,f
automation_events,service_role,SELECT,f
automation_events,service_role,TRIGGER,f
automation_events,service_role,TRUNCATE,f
automation_events,service_role,UPDATE,f
automation_logs,authenticated,DELETE,f
automation_logs,authenticated,INSERT,f
automation_logs,authenticated,MAINTAIN,f
automation_logs,authenticated,REFERENCES,f
automation_logs,authenticated,SELECT,f
automation_logs,authenticated,TRIGGER,f
automation_logs,authenticated,TRUNCATE,f
automation_logs,authenticated,UPDATE,f
automation_logs,postgres,DELETE,f
automation_logs,postgres,INSERT,f
automation_logs,postgres,MAINTAIN,f
automation_logs,postgres,REFERENCES,f
automation_logs,postgres,SELECT,f
automation_logs,postgres,TRIGGER,f
automation_logs,postgres,TRUNCATE,f
automation_logs,postgres,UPDATE,f
automation_logs,service_role,DELETE,f
automation_logs,service_role,INSERT,f
automation_logs,service_role,MAINTAIN,f
automation_logs,service_role,REFERENCES,f
automation_logs,service_role,SELECT,f
automation_logs,service_role,TRIGGER,f
automation_logs,service_role,TRUNCATE,f
automation_logs,service_role,UPDATE,f
automation_node_runs,authenticated,SELECT,f
automation_node_runs,postgres,DELETE,f
automation_node_runs,postgres,INSERT,f
automation_node_runs,postgres,MAINTAIN,f
automation_node_runs,postgres,REFERENCES,f
automation_node_runs,postgres,SELECT,f
automation_node_runs,postgres,TRIGGER,f
automation_node_runs,postgres,TRUNCATE,f
automation_node_runs,postgres,UPDATE,f
automation_node_runs,service_role,DELETE,f
automation_node_runs,service_role,INSERT,f
automation_node_runs,service_role,MAINTAIN,f
automation_node_runs,service_role,REFERENCES,f
automation_node_runs,service_role,SELECT,f
automation_node_runs,service_role,TRIGGER,f
automation_node_runs,service_role,TRUNCATE,f
automation_node_runs,service_role,UPDATE,f
automation_runs,authenticated,SELECT,f
automation_runs,postgres,DELETE,f
automation_runs,postgres,INSERT,f
automation_runs,postgres,MAINTAIN,f
automation_runs,postgres,REFERENCES,f
automation_runs,postgres,SELECT,f
automation_runs,postgres,TRIGGER,f
automation_runs,postgres,TRUNCATE,f
automation_runs,postgres,UPDATE,f
automation_runs,service_role,DELETE,f
automation_runs,service_role,INSERT,f
automation_runs,service_role,MAINTAIN,f
automation_runs,service_role,REFERENCES,f
automation_runs,service_role,SELECT,f
automation_runs,service_role,TRIGGER,f
automation_runs,service_role,TRUNCATE,f
automation_runs,service_role,UPDATE,f
automation_scheduled_executions,authenticated,DELETE,f
automation_scheduled_executions,authenticated,INSERT,f
automation_scheduled_executions,authenticated,MAINTAIN,f
automation_scheduled_executions,authenticated,REFERENCES,f
automation_scheduled_executions,authenticated,SELECT,f
automation_scheduled_executions,authenticated,TRIGGER,f
automation_scheduled_executions,authenticated,TRUNCATE,f
automation_scheduled_executions,authenticated,UPDATE,f
automation_scheduled_executions,postgres,DELETE,f
automation_scheduled_executions,postgres,INSERT,f
automation_scheduled_executions,postgres,MAINTAIN,f
automation_scheduled_executions,postgres,REFERENCES,f
automation_scheduled_executions,postgres,SELECT,f
automation_scheduled_executions,postgres,TRIGGER,f
automation_scheduled_executions,postgres,TRUNCATE,f
automation_scheduled_executions,postgres,UPDATE,f
automation_scheduled_executions,service_role,DELETE,f
automation_scheduled_executions,service_role,INSERT,f
automation_scheduled_executions,service_role,MAINTAIN,f
automation_scheduled_executions,service_role,REFERENCES,f
automation_scheduled_executions,service_role,SELECT,f
automation_scheduled_executions,service_role,TRIGGER,f
automation_scheduled_executions,service_role,TRUNCATE,f
automation_scheduled_executions,service_role,UPDATE,f
automations,authenticated,DELETE,f
automations,authenticated,INSERT,f
automations,authenticated,MAINTAIN,f
automations,authenticated,REFERENCES,f
automations,authenticated,SELECT,f
automations,authenticated,TRIGGER,f
automations,authenticated,TRUNCATE,f
automations,authenticated,UPDATE,f
automations,postgres,DELETE,f
automations,postgres,INSERT,f
automations,postgres,MAINTAIN,f
automations,postgres,REFERENCES,f
automations,postgres,SELECT,f
automations,postgres,TRIGGER,f
automations,postgres,TRUNCATE,f
automations,postgres,UPDATE,f
automations,service_role,DELETE,f
automations,service_role,INSERT,f
automations,service_role,MAINTAIN,f
automations,service_role,REFERENCES,f
automations,service_role,SELECT,f
automations,service_role,TRIGGER,f
automations,service_role,TRUNCATE,f
automations,service_role,UPDATE,f
chat_sessions,authenticated,DELETE,f
chat_sessions,authenticated,INSERT,f
chat_sessions,authenticated,MAINTAIN,f
chat_sessions,authenticated,REFERENCES,f
chat_sessions,authenticated,SELECT,f
chat_sessions,authenticated,TRIGGER,f
chat_sessions,authenticated,TRUNCATE,f
chat_sessions,authenticated,UPDATE,f
chat_sessions,postgres,DELETE,f
chat_sessions,postgres,INSERT,f
chat_sessions,postgres,MAINTAIN,f
chat_sessions,postgres,REFERENCES,f
chat_sessions,postgres,SELECT,f
chat_sessions,postgres,TRIGGER,f
chat_sessions,postgres,TRUNCATE,f
chat_sessions,postgres,UPDATE,f
chat_sessions,service_role,DELETE,f
chat_sessions,service_role,INSERT,f
chat_sessions,service_role,MAINTAIN,f
chat_sessions,service_role,REFERENCES,f
chat_sessions,service_role,SELECT,f
chat_sessions,service_role,TRIGGER,f
chat_sessions,service_role,TRUNCATE,f
chat_sessions,service_role,UPDATE,f
comments,authenticated,DELETE,f
comments,authenticated,INSERT,f
comments,authenticated,MAINTAIN,f
comments,authenticated,REFERENCES,f
comments,authenticated,SELECT,f
comments,authenticated,TRIGGER,f
comments,authenticated,TRUNCATE,f
comments,authenticated,UPDATE,f
comments,postgres,DELETE,f
comments,postgres,INSERT,f
comments,postgres,MAINTAIN,f
comments,postgres,REFERENCES,f
comments,postgres,SELECT,f
comments,postgres,TRIGGER,f
comments,postgres,TRUNCATE,f
comments,postgres,UPDATE,f
comments,service_role,DELETE,f
comments,service_role,INSERT,f
comments,service_role,MAINTAIN,f
comments,service_role,REFERENCES,f
comments,service_role,SELECT,f
comments,service_role,TRIGGER,f
comments,service_role,TRUNCATE,f
comments,service_role,UPDATE,f
conversations,authenticated,DELETE,f
conversations,authenticated,INSERT,f
conversations,authenticated,MAINTAIN,f
conversations,authenticated,REFERENCES,f
conversations,authenticated,SELECT,f
conversations,authenticated,TRIGGER,f
conversations,authenticated,TRUNCATE,f
conversations,authenticated,UPDATE,f
conversations,postgres,DELETE,f
conversations,postgres,INSERT,f
conversations,postgres,MAINTAIN,f
conversations,postgres,REFERENCES,f
conversations,postgres,SELECT,f
conversations,postgres,TRIGGER,f
conversations,postgres,TRUNCATE,f
conversations,postgres,UPDATE,f
conversations,service_role,DELETE,f
conversations,service_role,INSERT,f
conversations,service_role,MAINTAIN,f
conversations,service_role,REFERENCES,f
conversations,service_role,SELECT,f
conversations,service_role,TRIGGER,f
conversations,service_role,TRUNCATE,f
conversations,service_role,UPDATE,f
external_services,authenticated,DELETE,f
external_services,authenticated,INSERT,f
external_services,authenticated,MAINTAIN,f
external_services,authenticated,REFERENCES,f
external_services,authenticated,SELECT,f
external_services,authenticated,TRIGGER,f
external_services,authenticated,TRUNCATE,f
external_services,authenticated,UPDATE,f
external_services,postgres,DELETE,f
external_services,postgres,INSERT,f
external_services,postgres,MAINTAIN,f
external_services,postgres,REFERENCES,f
external_services,postgres,SELECT,f
external_services,postgres,TRIGGER,f
external_services,postgres,TRUNCATE,f
external_services,postgres,UPDATE,f
external_services,service_role,DELETE,f
external_services,service_role,INSERT,f
external_services,service_role,MAINTAIN,f
external_services,service_role,REFERENCES,f
external_services,service_role,SELECT,f
external_services,service_role,TRIGGER,f
external_services,service_role,TRUNCATE,f
external_services,service_role,UPDATE,f
generated_assets,postgres,DELETE,f
generated_assets,postgres,INSERT,f
generated_assets,postgres,MAINTAIN,f
generated_assets,postgres,REFERENCES,f
generated_assets,postgres,SELECT,f
generated_assets,postgres,TRIGGER,f
generated_assets,postgres,TRUNCATE,f
generated_assets,postgres,UPDATE,f
messages,authenticated,DELETE,f
messages,authenticated,INSERT,f
messages,authenticated,MAINTAIN,f
messages,authenticated,REFERENCES,f
messages,authenticated,SELECT,f
messages,authenticated,TRIGGER,f
messages,authenticated,TRUNCATE,f
messages,authenticated,UPDATE,f
messages,postgres,DELETE,f
messages,postgres,INSERT,f
messages,postgres,MAINTAIN,f
